epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2028,1.77703,5.11233,1.22845,0.78165,0.21053,0.24122,0.11769,1.8734,2.76069,1.22473,6e-05,6e-05,6e-05
2,40.2792,1.85776,2.05055,1.19999,0.43538,0.73684,0.50003,0.19572,1.83614,1.75007,1.24446,0.00013769,0.00013769,0.00013769
3,59.906,1.75869,1.59598,1.10337,0.62096,0.78947,0.7374,0.34377,1.69352,1.50422,1.1484,0.00021274,0.00021274,0.00021274
4,79.597,1.88854,1.88627,1.22702,0.7962,0.63158,0.67636,0.28053,1.90926,1.63995,1.26578,0.00028515,0.00028515,0.00028515
5,99.428,1.70862,1.31245,1.16212,0.15951,0.26316,0.18317,0.08108,1.69663,2.32022,1.20483,0.00035492,0.00035492,0.00035492
6,119.32,1.74535,1.52844,1.16683,0.36861,0.57895,0.3057,0.10057,1.93096,2.30366,1.28428,0.00042205,0.00042205,0.00042205
7,139.224,1.65199,1.17368,1.06774,0.39997,0.26316,0.21045,0.10768,1.75356,3.59773,1.21848,0.00048654,0.00048654,0.00048654
8,159.013,1.66648,1.20894,1.13605,0.02799,0.26316,0.02032,0.00992,1.75962,16.5249,1.23885,0.00054839,0.00054839,0.00054839
9,179.243,1.61231,1.05885,1.04741,0.09143,0.47368,0.06647,0.02422,1.95641,8.94434,1.34481,0.0006076,0.0006076,0.0006076
10,199.29,1.4311,0.91625,1.00628,0.1132,0.36954,0.09691,0.03551,2.04237,6.70653,1.36178,0.00066417,0.00066417,0.00066417
11,219.102,1.67363,1.12276,1.18673,0.1795,0.31579,0.10145,0.03553,2.24982,2.99437,1.4191,0.0007181,0.0007181,0.0007181
12,239.051,1.59793,0.89904,1.10159,0.02088,0.31579,0.01835,0.00429,2.84456,4.0523,1.84398,0.00076939,0.00076939,0.00076939
13,258.924,1.76759,0.97406,1.2317,0.14072,0.52632,0.11888,0.04425,2.26246,2.51433,1.5165,0.00081804,0.00081804,0.00081804
14,278.776,1.77697,1.03691,1.13971,0.19947,0.68421,0.18397,0.08137,1.71522,2.19597,1.23651,0.00086405,0.00086405,0.00086405
15,298.56,1.96215,1.27537,1.21011,0.71888,0.73684,0.73184,0.37404,1.92647,1.22334,1.31842,0.00090742,0.00090742,0.00090742
16,318.321,1.70651,0.91993,1.20375,0.71888,0.73684,0.73184,0.37404,1.92647,1.22334,1.31842,0.00094815,0.00094815,0.00094815
17,337.806,1.51926,1.23829,1.09099,0.75364,0.68421,0.7352,0.35426,1.89884,1.47256,1.3201,0.00098624,0.00098624,0.00098624
18,357.253,1.43799,1.21311,0.99005,0.79524,0.63158,0.63225,0.25722,2.28249,1.44093,1.55758,0.00102169,0.00102169,0.00102169
19,377.001,1.7163,1.06665,1.11541,0.79524,0.63158,0.63225,0.25722,2.28249,1.44093,1.55758,0.0010545,0.0010545,0.0010545
20,396.66,1.53308,1.15397,1.06653,0.01185,0.42105,0.00716,0.00283,2.34547,18.2604,1.56419,0.00108467,0.00108467,0.00108467
21,416.114,1.60315,1.24012,1.06122,0.13627,0.42105,0.10186,0.0439,2.04034,2.72821,1.38736,0.0011122,0.0011122,0.0011122
22,435.492,1.45142,0.7771,1.0716,0.13627,0.42105,0.10186,0.0439,2.04034,2.72821,1.38736,0.00113709,0.00113709,0.00113709
23,454.849,1.45322,0.98663,1.0783,0.9462,0.63158,0.80389,0.3385,1.96841,1.50625,1.39677,0.00115934,0.00115934,0.00115934
24,474.163,1.48606,1.1718,1.08511,0.9462,0.63158,0.80389,0.3385,1.96841,1.50625,1.39677,0.00117895,0.00117895,0.00117895
25,493.546,1.53366,1.09425,1.0916,0.30023,0.57895,0.32008,0.11895,2.18989,2.27839,1.54857,0.00119592,0.00119592,0.00119592
26,512.976,1.73781,1.30514,1.1867,0.30023,0.57895,0.32008,0.11895,2.18989,2.27839,1.54857,0.001175,0.001175,0.001175
27,532.498,1.3964,1.22663,1.124,0.16724,0.68421,0.16118,0.0639,1.98469,3.73726,1.56855,0.001142,0.001142,0.001142
28,551.837,1.43951,0.824,1.09681,0.16724,0.68421,0.16118,0.0639,1.98469,3.73726,1.56855,0.001109,0.001109,0.001109
29,570.902,1.45183,0.88479,1.10061,0.03667,0.42105,0.04928,0.02348,1.84051,13.2465,1.37219,0.001076,0.001076,0.001076
30,590.589,1.36959,0.8371,1.07898,0.03667,0.42105,0.04928,0.02348,1.84051,13.2465,1.37219,0.001043,0.001043,0.001043
31,609.924,1.38483,0.9748,1.02155,0.04227,0.31579,0.04806,0.02212,2.1005,10.7077,1.4686,0.00101,0.00101,0.00101
32,629.408,1.52267,0.78423,1.11644,0.04227,0.31579,0.04806,0.02212,2.1005,10.7077,1.4686,0.000977,0.000977,0.000977
33,648.818,1.44183,0.75039,1.11754,0.08155,0.42105,0.05672,0.02404,2.18368,5.81629,1.57649,0.000944,0.000944,0.000944
34,668.25,1.32743,0.70704,1.03092,0.08155,0.42105,0.05672,0.02404,2.18368,5.81629,1.57649,0.000911,0.000911,0.000911
35,687.384,1.25554,0.70752,0.92417,0.06022,0.68421,0.05456,0.0219,2.0504,8.31016,1.43279,0.000878,0.000878,0.000878
36,706.214,1.29046,0.70283,1.00059,0.06022,0.68421,0.05456,0.0219,2.0504,8.31016,1.43279,0.000845,0.000845,0.000845
37,725.209,1.31199,0.70658,0.96195,0.29169,0.57895,0.26013,0.13236,1.92013,2.35289,1.32366,0.000812,0.000812,0.000812
38,743.78,1.30711,0.65932,0.98012,0.29169,0.57895,0.26013,0.13236,1.92013,2.35289,1.32366,0.000779,0.000779,0.000779
39,762.432,1.36328,0.69409,0.96963,0.64512,0.63158,0.6472,0.29343,2.09185,1.01897,1.40194,0.000746,0.000746,0.000746
40,781.054,1.23397,0.6711,0.99708,0.64512,0.63158,0.6472,0.29343,2.09185,1.01897,1.40194,0.000713,0.000713,0.000713
41,799.763,1.22799,0.6319,0.93644,0.73165,0.71814,0.75452,0.36845,1.90857,0.84293,1.31275,0.00068,0.00068,0.00068
42,817.802,1.33894,0.59706,1.12894,0.73165,0.71814,0.75452,0.36845,1.90857,0.84293,1.31275,0.000647,0.000647,0.000647
43,836.58,1.27714,0.60637,1.03215,0.77522,0.72653,0.76047,0.31349,2.07411,0.94302,1.40306,0.000614,0.000614,0.000614
44,855.41,1.18329,0.58339,0.98422,0.77522,0.72653,0.76047,0.31349,2.07411,0.94302,1.40306,0.000581,0.000581,0.000581
45,874.237,1.17836,0.59094,0.94682,0.77719,0.73447,0.79623,0.29666,2.10562,1.00684,1.40937,0.000548,0.000548,0.000548
46,892.908,1.10005,0.63216,0.90042,0.77719,0.73447,0.79623,0.29666,2.10562,1.00684,1.40937,0.000515,0.000515,0.000515
47,911.609,1.17278,0.57162,0.91848,0.78868,0.78592,0.79689,0.28513,2.19476,0.98778,1.44006,0.000482,0.000482,0.000482
48,929.973,1.11897,0.56743,0.92969,0.78868,0.78592,0.79689,0.28513,2.19476,0.98778,1.44006,0.000449,0.000449,0.000449
49,948.533,1.13521,0.58325,0.88303,0.83045,0.73684,0.81992,0.37899,1.95471,0.80158,1.33567,0.000416,0.000416,0.000416
50,967.208,1.14088,0.56863,0.97077,0.83045,0.73684,0.81992,0.37899,1.95471,0.80158,1.33567,0.000383,0.000383,0.000383
51,985.659,1.14688,0.57372,1.00446,0.83151,0.73684,0.8108,0.40082,1.86223,0.75267,1.29969,0.00035,0.00035,0.00035
52,1004.06,1.01871,0.58366,0.90569,0.83151,0.73684,0.8108,0.40082,1.86223,0.75267,1.29969,0.000317,0.000317,0.000317
53,1022.58,1.10998,0.58422,0.92093,0.82219,0.73684,0.78966,0.3574,1.93842,0.79873,1.34523,0.000284,0.000284,0.000284
54,1040.68,0.96821,0.51823,0.91675,0.82219,0.73684,0.78966,0.3574,1.93842,0.79873,1.34523,0.000251,0.000251,0.000251
55,1058.94,0.99973,0.558,0.90522,0.89901,0.78947,0.86927,0.36307,1.95084,0.80308,1.36564,0.000218,0.000218,0.000218
56,1077.69,0.95869,0.50939,0.90437,0.89901,0.78947,0.86927,0.36307,1.95084,0.80308,1.36564,0.000185,0.000185,0.000185
57,1096.51,1.03574,0.5309,0.89515,0.89481,0.78947,0.86529,0.36285,1.93925,0.79869,1.369,0.000152,0.000152,0.000152
58,1115.13,1.06651,0.6019,0.95167,0.89481,0.78947,0.86529,0.36285,1.93925,0.79869,1.369,0.000119,0.000119,0.000119
59,1133.81,1.0372,0.53191,0.97129,0.89224,0.78947,0.85133,0.38038,1.91964,0.80156,1.35911,8.6e-05,8.6e-05,8.6e-05
60,1152.29,0.95308,0.50318,0.87869,0.89224,0.78947,0.85133,0.38038,1.91964,0.80156,1.35911,5.3e-05,5.3e-05,5.3e-05
